"species","run_name","fst.global.wc","mean.rowwisefst","sd.rowwisefst","mean.1toallfst","sd.1toallfst","mean.pwp","sd.pwp"
"Trachidermus-fasciatus","bioprj_PRJNA360511_Trachidermus-fasciatus","-0.0055356219404667","0.00427960740725339","0.000219624149413928",-0.00316859338597159,0.00762340654461463,0.00195232807306004,5.62604586074858e-06
"Agaricia-fragilis","bioprj_PRJNA361144_Agaricia-fragilis","0.0255499686198765","0.027929569722325","0.0065897893290708",0.0143717200505197,0.00637809848666217,0.00251721971855076,2.98151677705943e-06
"Stephanocoenia-intersepta","bioprj_PRJNA361144_Stephanocoenia-intersepta","0.00608672122101489","0.0180968974062488","0.0492313641184811",0.0175721253587092,0.0490989423927855,0.0077030684066586,2.1462342567386e-06
"Nautilus-pompilius","bioprj_PRJNA369717_Nautilus-pompilius","0.349960870133544","0.285272408390667","0.130510744796796",0.145332460343755,0.114817997676342,0.00401533619286697,3.87855545252821e-05
"Acanthurus-olivaceus","bioprj_PRJNA371502_Acanthurus-olivaceus","0.0165801467972092","0.0143434436902969","0.00540138687388023",0.00742467899247324,0.00646418103423398,0.0048264521956548,7.42569115633886e-06
"Paracentrotus-lividus","bioprj_PRJNA373825_Paracentrotus-lividus","0.00287495490940882","0.00277242904160337","0.00268356018061584",0.00181812574431884,0.00271227467194944,0.0112742775953645,4.14435902255794e-06
"Porites-astreoides","bioprj_PRJNA379028_Porites-astreoides","only_1indiv_per_every_pop","only_1indiv_per_every_pop","only_1indiv_per_every_pop",-0.00033034756119094,0.0207785270827773,0.00228767129796797,0
"Platichthys-flesus","bioprj_PRJNA382467_Platichthys-flesus","0.0226636921577187","0.021858399235617","0.00352018459001136",0.0113365032732598,0.00375742299814837,0.00357456678042451,2.55205759049346e-06
"Siphamia-tubifer","bioprj_PRJNA385011_Siphamia-tubifer","0.00270067506393479","0.00314322037944376","0.00141840125422288",0.00165990210601958,0.00163929599710479,0.00331249090115995,8.39420820222939e-07
"Agaricia-undata","bioprj_PRJNA385083_Agaricia-undata","0.0204972334598758","0.00987174971160017","0.0111868110231516",0.00385514298096135,0.0177205329406229,0.00326653833023779,2.54342828415732e-06
"Exaiptasia-diaphana","bioprj_PRJNA394157_Exaiptasia-diaphana","0.0135519829077017","0.00176666376579267","0.00227048956516137",0.000741166926028653,0.00496215389565313,0.00786810311173175,7.29724377369355e-07
"Arctocephalus-forsteri","bioprj_PRJNA419445_Arctocephalus-forsteri","0.0106681435352309","not_calculated_HPCCtimedout","not_calculated_HPCCtimedout",0.000176686470230178,0.0571762088592538,0.00150426825057664,2.62158276748629e-06
"Ectopleura-larynx","bioprj_PRJNA420851_Ectopleura-larynx","0.38294913145483","0.415564440203261","0.114250793016021",0.299912537405158,0.180304832041746,0.00890361926179162,0.000138094682039961
"Coryphaenoides-rupestris","bioprj_PRJNA430030_Coryphaenoides-rupestris","0.0126779288213661","0.0121014501253502","0.00302351007037431",0.00827769258325238,0.001898686972173,0.00426679974471399,6.76809374416347e-06
"Thunnus-thynnus","bioprj_PRJNA432036_Thunnus-thynnus","0.00293760557092111","0.00295205300706319","0.00240367463172794",0.00223938832610758,0.00285277781992687,0.00296690280966479,4.41130277387083e-06
"Pisaster-ochraceus","bioprj_PRJNA445895_Pisaster-ochraceus","0.000213962677678028","0.000504181109039193","0.000870915659689723",-0.00017809812019926,0.00115183686653482,0.00482276216672983,1.36224595723204e-06
"Stegastes-beebei","bioprj_PRJNA448430_Stegastes-beebei","-0.00763118272321347","0.00113800215284721","0.0118004584076318",-0.00208460400450621,0.0319699307293646,0.00485686342579827,3.87416816822834e-05
"Stegastes-leucorus","bioprj_PRJNA448430_Stegastes-leucorus","0.0880639758890231","0.0880639758890231","only_two_pops_total",0.0880639758890231,0,0.0064130197476789,0.000174361128288438
"Holacanthus-passer","bioprj_PRJNA448438_Holacanthus-passer","0.0388249984339891","0.041420171304759","0.0288465971518587",0.0168793747611156,0.026738363584314,0.00325780219762837,1.31099274616129e-06
"Zebrasoma-flavescens","bioprj_PRJNA449377_Zebrasoma-flavescens","0.0512921972930699","0.0491596793760374","0.0227544855165079",0.0335714041833964,0.0169890552627038,0.00717794738740814,1.21718901877297e-05
"Zebrasoma-scopas","bioprj_PRJNA449377_Zebrasoma-scopas","0.0294733907784224","0.0264267997619713","0.012563517170345",0.014998674097964,0.0131228484055397,0.00653719860985718,1.43953861955097e-05
"Halichoerus-grypus-atlantica","bioprj_PRJNA450328_Halichoerus-grypus-atlantica","0.00319444634394103","0.00298010931387411","0.00128895625876541",0.00246170916659422,0.000999403180240596,0.000816485071860898,1.73025673149559e-06
"Pocillopora-damicornis","bioprj_PRJNA450871_Pocillopora-damicornis","0.0530876817531423","0.0529059006711663","0.014233253088768",0.0346815116451629,0.0038023914953873,0.00571295562919451,1.37264798358111e-05
"Sebastes-paucispinis","bioprj_PRJNA451040_Sebastes-paucispinis","0.00229218413194497","0.000460405591042098","0.00323430785095878",3.58862295915682e-05,0.0180080019781029,0.000869404776931244,2.31054644302062e-07
"Sebastes-pinniger","bioprj_PRJNA451040_Sebastes-pinniger","0.00886652251863274","0.00168147233706194","0.00429924661700678",0.000934824190052935,0.00384026570446591,0.00120417099364123,4.77798298780059e-07
