"species","run_name","s","nugget","m","nbhd","inDeme","stacksparams"
"Galaxias maculatus","bioprj_PRJNA564121_Galaxias-maculatus",0.99387055134037,0.00569645810442111,0.0288981424733918,1441.92130570143,0.252375448227286,"littlem_3_bigm_9_n8_nis1lessthanM"
"Uria aalge","bioprj_PRJNA564451_Uria-aalge",0.9951188379417,0.004832073755334,9.8127739190449e-08,266.33607964848,0.00992813154588647,"littlem_3_bigm_3_n4_nis1morethanM"
"Uria lomvia","bioprj_PRJNA564451_Uria-lomvia",0.992393570499117,0.00756126179302662,0.0107798788233166,858.215848892008,0.00676569387289874,"littlem_3_bigm_3_n4_nis1morethanM"
"Cranchia scabra","bioprj_PRJNA573759_Cranchia-scabra",0.987682780590536,0.0122255190167423,8.51477794486411e-06,237.010421124007,0.00705898797505474,"littlem_3_bigm_6_n7_nis1morethanM"
"Pyroteuthis margaritifera","bioprj_PRJNA573759_Pyroteuthis-margaritifera",0.980973896991386,0.0255229796316342,0.016705257449244,1263.91396071022,0.120928166817375,"littlem_3_bigm_9_n9_nequalM"
"Vampyroteuthis infernalis","bioprj_PRJNA573759_Vampyroteuthis-infernalis",0.991037918541313,0.00858976004580152,0.0261468851206335,1454.3126183548,0.0425538499259111,"littlem_3_bigm_3_n4_nis1morethanM"
"Galaxea fascicularis","bioprj_PRJNA576132_Galaxea-fascicularis",0.981386195091726,0.0493485418028856,1.36612743165698e-08,41.6655884631173,0.151312932043424,"littlem_3_bigm_3_n4_nis1morethanM"
"Eukrohnia hamata","bioprj_PRJNA576675_Eukrohnia-hamata",0.995879555703174,0.00409302688455368,8.45506491868196e-06,280.032080624804,0.00697184047607855,"littlem_3_bigm_3_n2_nis1lessthanM"
"Dascyllus trimaculatus","bioprj_PRJNA590458_Dascyllus-trimaculatus",0.993271201345252,0.0105758308406714,1.76660142639254e-11,47.6702352139763,0.164302075854409,"littlem_3_bigm_3_n4_nis1morethanM"
"Bathygobius cocosensis","bioprj_PRJNA595396_Bathygobius-cocosensis",0.998593883038086,0.0023913249393531,3.5264994689331e-05,140.592068877186,0.0100344563045635,"littlem_3_bigm_3_n4_nis1morethanM"
"Anthopleura elegantissima","bioprj_PRJNA632874_Anthopleura-elegantissima",0.992452986228068,0.00535404177720062,3.25784176290527e-08,17.103425974987,0.271132708612128,"littlem_3_bigm_3_n4_nis1morethanM"
"Paracirrhites forsteri","bioprj_PRJNA640135_Paracirrhites-forsteri",0.995486800750668,0.00648389341720933,4.6943335770511e-07,1052.45407054868,0.00678457675761654,"littlem_3_bigm_3_n4_nis1morethanM"
"Bathyraja aleutica","bioprj_PRJNA646172_Bathyraja-aleutica",0.996945094540011,0.00400595410794087,0.00754796632512074,475.096396305894,0.0182576062223781,"littlem_3_bigm_3_n2_nis1lessthanM"
"Bathyraja panthera","bioprj_PRJNA646172_Bathyraja-panthera",0.997445938169893,0.0024803288662944,7.88804723050111e-06,67.0847469977685,0.0255569216564729,"littlem_3_bigm_3_n2_nis1lessthanM"
"Phocoena sinus","bioprj_PRJNA659918_Phocoena-sinus",0.998255899327591,0.00147092105106693,0.0116168304502002,814.632918684459,0.178843615302756,"littlem_3_bigm_3_n4_nis1morethanM"
