"organism_biosamp_ncbitaxonomy-via-taxize","superkingdom_ncbitaxonomy-via-taxize","kingdom_ncbitaxonomy-via-taxize","phylum_ncbitaxonomy-via-taxize","subphylum_ncbitaxonomy-via-taxize","superclass_ncbitaxonomy-via-taxize","class_ncbitaxonomy-via-taxize","subclass_ncbitaxonomy-via-taxize","superorder_ncbitaxonomy-via-taxize","order_ncbitaxonomy-via-taxize","suborder_ncbitaxonomy-via-taxize","infraorder_ncbitaxonomy-via-taxize","superfamily_ncbitaxonomy-via-taxize","family_ncbitaxonomy-via-taxize","genus_ncbitaxonomy-via-taxize","species_ncbitaxonomy-via-taxize","infraclass_ncbitaxonomy-via-taxize","cohort_ncbitaxonomy-via-taxize","subfamily_ncbitaxonomy-via-taxize","parvorder_ncbitaxonomy-via-taxize","subcohort_ncbitaxonomy-via-taxize","tribe_ncbitaxonomy-via-taxize","subspecies_ncbitaxonomy-via-taxize"
"Nautilus pompilius","Eukaryota","Metazoa","Mollusca",NA,NA,"Cephalopoda","Nautiloidea",NA,"Nautilida",NA,NA,NA,"Nautilidae","Nautilus","Nautilus pompilius",NA,NA,NA,NA,NA,NA,NA
"Nematostella vectensis","Eukaryota","Metazoa","Cnidaria",NA,NA,"Anthozoa","Hexacorallia",NA,"Actiniaria",NA,NA,NA,"Edwardsiidae","Nematostella","Nematostella vectensis",NA,NA,NA,NA,NA,NA,NA
"Nymphon australe","Eukaryota","Metazoa","Arthropoda","Chelicerata",NA,"Pycnogonida",NA,NA,"Pantopoda",NA,NA,NA,"Nymphonidae","Nymphon","Nymphon australe",NA,NA,NA,NA,NA,NA,NA
"Oculina patagonica","Eukaryota","Metazoa","Cnidaria",NA,NA,"Anthozoa","Hexacorallia",NA,"Scleractinia","Faviina",NA,NA,"Oculinidae","Oculina","Oculina patagonica",NA,NA,NA,NA,NA,NA,NA
"Orbicella faveolata","Eukaryota","Metazoa","Cnidaria",NA,NA,"Anthozoa","Hexacorallia",NA,"Scleractinia","Faviina",NA,NA,"Merulinidae","Orbicella","Orbicella faveolata",NA,NA,NA,NA,NA,NA,NA
"Ostrea lurida","Eukaryota","Metazoa","Mollusca",NA,NA,"Bivalvia","Autobranchia",NA,"Ostreida",NA,NA,"Ostreoidea","Ostreidae","Ostrea","Ostrea lurida",NA,NA,NA,NA,NA,NA,NA
"Paracentrotus lividus","Eukaryota","Metazoa","Echinodermata",NA,"Echinozoa","Echinoidea","Euechinoidea","Echinacea","Camarodonta",NA,"Echinidea",NA,"Echinidae","Paracentrotus","Paracentrotus lividus",NA,NA,NA,NA,NA,NA,NA
"Paracirrhites forsteri","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Centrarchiformes",NA,NA,"Cirrhitioidei","Cirrhitidae","Paracirrhites","Paracirrhites forsteri","Teleostei","Euteleosteomorpha",NA,NA,NA,NA,NA
"Paralichthys dentatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Pleuronectiformes","Pleuronectoidei",NA,NA,"Paralichthyidae","Paralichthys","Paralichthys dentatus","Teleostei","Euteleosteomorpha",NA,NA,NA,NA,NA
"Penaeus duorarum","Eukaryota","Metazoa","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Dendrobranchiata",NA,"Penaeoidea","Penaeidae","Penaeus","Penaeus duorarum",NA,NA,NA,NA,NA,NA,NA
"Halichoerus grypus atlantica","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Laurasiatheria","Carnivora","Caniformia",NA,NA,"Phocidae","Halichoerus","Halichoerus grypus",NA,NA,NA,NA,NA,NA,"Halichoerus grypus atlantica"
